Republican,Republican%,Democratic,Democratic%,Total,State,year
1478120,49.32,1489504,49.7,2997007,WI,2004
167629,68.86,70776,29.07,243428,WY,2004
62040610,50.73,59028444,48.27,122294846,US,2004
1266546,60.32,813479,38.74,2099819,AL,2008
193841,59.42,123594,37.89,326197,AK,2008
1230111,53.64,1034707,45.12,2293475,AZ,2008
638017,58.72,422310,38.86,1086617,AR,2008
5011781,36.95,8274473,61.01,13561900,CA,2008
1073629,44.71,1288633,53.66,2401462,CO,2008
629428,38.22,997772,60.59,1646797,CT,2008
152374,36.95,255459,61.94,412412,DE,2008
17367,6.53,245800,92.46,265853,DC,2008
4045624,48.22,4282074,51.03,8390744,FL,2008
2048759,52.2,1844123,46.99,3924486,GA,2008
120566,26.58,325871,71.85,453568,HI,2008
403012,61.52,236440,36.09,655122,ID,2008
2031179,36.78,3419348,61.92,5522371,IL,2008
1345648,48.91,1374039,49.95,2751054,IN,2008
682379,44.39,828940,53.93,1537123,IA,2008
699655,56.61,514765,41.65,1235872,KS,2008
1048462,57.4,751985,41.17,1826620,KY,2008
1148275,58.56,782989,39.93,1960761,LA,2008
295273,40.38,421923,57.71,731163,ME,2008
959862,36.47,1629467,61.92,2631596,MD,2008
1108854,35.99,1904097,61.8,3080985,MA,2008
2048639,40.96,2872579,57.43,5001766,MI,2008
1275409,43.82,1573354,54.06,2910369,MN,2008
724597,56.18,554662,43.0,1289865,MS,2008
1445814,49.43,1441911,49.29,2925205,MO,2008
242763,49.51,231667,47.25,490302,MT,2008
452979,56.53,333319,41.6,801281,NE,2008
412827,42.65,533736,55.15,967848,NV,2008
316534,44.52,384826,54.13,710970,NH,2008
1613207,41.7,2215422,57.27,3868237,NJ,2008
346832,41.78,472422,56.91,830158,NM,2008
2752771,36.03,4804945,62.88,7640931,NY,2008
2128474,49.38,2142651,49.7,4310789,NC,2008
168601,53.25,141278,44.62,316621,ND,2008
2677820,46.91,2940044,51.5,5708350,OH,2008
960165,65.65,502496,34.35,1462661,OK,2008
738475,40.4,1037291,56.75,1827864,OR,2008
2655885,44.17,3276363,54.49,6013272,PA,2008
165391,35.06,296571,62.86,471766,RI,2008
1034896,53.87,862449,44.9,1920969,SC,2008
203054,53.16,170924,44.75,381975,SD,2008
1479178,56.9,1087437,41.83,2599749,TN,2008
4479328,55.45,3528633,43.68,8077795,TX,2008
596030,62.58,327670,34.41,952370,UT,2008
98974,30.45,219262,67.46,325046,VT,2008
1725005,46.33,1959532,52.63,3723260,VA,2008
1229216,40.48,1750848,57.65,3036878,WA,2008
397466,55.71,303857,42.59,713451,WV,2008
1262393,42.31,1677211,56.22,2983417,WI,2008
164958,64.78,82868,32.54,254658,WY,2008
59948323,45.65,69498516,52.93,131313820,US,2008
1255925,60.6,795696,38.4,2074338,AL,2012
164676,54.8,122640,40.8,300495,AK,2012
1233654,53.7,1025232,44.6,2299254,AZ,2012
647744,60.6,394409,36.9,1069468,AR,2012
4839958,37.1,7854285,60.2,13038547,CA,2012
1185243,46.1,1323101,51.5,2569518,CO,2012
634892,40.7,905083,58.1,1558960,CT,2012
165484,40.0,242584,58.6,413921,DE,2012
21381,7.3,267070,90.9,293764,DC,2012
4163447,49.1,4237756,50.0,8474179,FL,2012
2078688,53.3,1773827,45.5,3900050,GA,2012
121015,27.8,306658,70.6,434697,HI,2012
420911,64.5,212787,32.6,652274,ID,2012
2135216,40.7,3019512,57.6,5242014,IL,2012
1420543,54.1,1152887,43.9,2624534,IN,2012
730617,46.2,822544,52.0,1582180,IA,2012
692634,59.7,440726,38.0,1159971,KS,2012
1087190,60.5,679370,37.8,1797212,KY,2012
1152262,57.8,809141,40.6,1994065,LA,2012
292276,41.0,401306,56.3,713180,ME,2012
971869,35.9,1677844,62.0,2707327,MD,2012
1188314,37.5,1921290,60.7,3167767,MA,2012
2115256,44.7,2564569,54.2,4730961,MI,2012
1320225,45.0,1546167,52.7,2936561,MN,2012
710746,55.3,562949,43.8,1285584,MS,2012
1482440,53.8,1223796,44.4,2757323,MO,2012
267928,55.4,201839,41.7,484048,MT,2012
475064,59.8,302081,38.0,794379,NE,2012
463567,45.7,531373,52.4,1014918,NV,2012
329918,46.4,369561,52.0,710972,NH,2012
1477568,40.6,2125101,58.4,3640292,NJ,2012
335788,42.8,415335,53.0,783758,NM,2012
2490431,35.2,4485741,63.4,7081159,NY,2012
2270395,50.4,2178391,48.4,4505372,NC,2012
188163,58.3,124827,38.7,322627,ND,2012
2661437,47.7,2827709,50.7,5580847,OH,2012
891325,66.8,443547,33.2,1334872,OK,2012
754175,42.2,970488,54.2,1789270,OR,2012
2680434,46.6,2990274,52.0,5753670,PA,2012
157204,35.2,279677,62.7,446049,RI,2012
1071645,54.6,865941,44.1,1964118,SC,2012
210610,57.9,145039,39.9,363815,SD,2012
1462330,59.5,960709,39.1,2458577,TN,2012
4569843,57.2,3308124,41.4,7993851,TX,2012
740600,72.8,251813,24.8,1017440,UT,2012
92698,31.0,199239,66.6,299290,VT,2012
1822522,47.3,1971820,51.2,3854489,VA,2012
1290670,41.3,1755396,56.2,3125516,WA,2012
417655,62.3,238269,35.5,670438,WV,2012
1407966,45.9,1620985,52.8,3068434,WI,2012
170962,68.6,69286,27.8,249061,WY,2012
60933504,47.2,65915795,51.1,129085410,US,2012
1318255,62.08,729547,34.36,2123372,AL,2016
163387,51.28,116454,36.55,318608,AK,2016
1252401,48.08,1161167,44.58,2604657,AZ,2016
684872,60.57,380494,33.65,1130676,AR,2016
4483810,31.62,8753788,61.73,14181595,CA,2016
1202484,43.25,1338870,48.16,2780247,CO,2016
673215,40.93,897572,54.57,1644920,CT,2016
185127,41.72,235603,53.09,443814,DE,2016
12723,4.09,282830,90.86,311268,DC,2016
4617886,49.02,4504975,47.82,9420039,FL,2016
2089104,50.77,1877963,45.64,4114732,GA,2016
128847,30.03,266891,62.22,428937,HI,2016
409055,59.26,189765,27.49,690255,ID,2016
2146015,38.76,3090729,55.83,5536424,IL,2016
1557286,56.82,1033126,37.91,2734958,IN,2016
800983,51.15,653669,41.74,1566031,IA,2016
671018,56.65,427005,36.05,1184402,KS,2016
1202971,62.52,628854,32.68,1924149,KY,2016
1178638,58.09,780154,38.45,2029032,LA,2016
335593,44.87,357735,47.83,747927,ME,2016
943169,33.91,1677928,60.33,2781446,MD,2016
1090893,32.81,1995196,60.01,3325046,MA,2016
2279543,47.5,2268839,47.27,4799284,MI,2016
1322951,44.92,1367716,46.44,2944813,MN,2016
700714,57.86,485131,40.06,1209357,MS,2016
1594511,56.77,1071068,38.14,2808605,MO,2016
279240,56.17,177709,35.75,497147,MT,2016
495961,58.75,284494,33.7,844227,NE,2016
512058,45.5,539260,47.92,1125385,NV,2016
345790,46.61,348526,46.98,744296,NH,2016
1601933,41.35,2148278,55.45,3874046,NJ,2016
319667,40.04,385234,48.26,798319,NM,2016
2819534,36.52,4556124,59.01,7721453,NY,2016
2362631,49.83,2189316,46.17,4741564,NC,2016
216794,62.96,93758,27.23,344360,ND,2016
2841005,51.69,2394164,43.56,5496487,OH,2016
949136,65.32,420375,28.93,1452992,OK,2016
782403,39.09,1002106,50.07,2001336,OR,2016
2970733,48.18,2926441,47.46,6165478,PA,2016
180543,38.9,252525,54.41,464144,RI,2016
1155389,54.94,855373,40.67,2103027,SC,2016
227721,61.53,117458,31.74,370093,SD,2016
1522925,60.72,870695,34.72,2508027,TN,2016
4685047,52.23,3877868,43.24,8969226,TX,2016
515231,45.54,310676,27.46,1131430,UT,2016
95369,30.27,178573,56.68,315067,VT,2016
1769443,44.41,1981473,49.73,3984631,VA,2016
1221747,36.83,1742718,52.54,3317019,WA,2016
489371,68.5,188794,26.43,714423,WV,2016
1405284,47.22,1382536,46.45,2976150,WI,2016
174419,68.17,55973,21.88,255849,WY,2016
62984825,46.09,65853516,48.18,136669237,US,2016
