Republican,Republican%,Democratic,Democratic%,Total,State,year
941173,56.48,692611,41.57,1666272,AL,2000
167398,58.62,79004,27.67,285560,AK,2000
781652,51.02,685341,44.73,1532016,AZ,2000
472940,51.31,422768,45.86,921781,AR,2000
4567429,41.65,5861203,53.45,10965856,CA,2000
883748,50.75,738227,42.39,1741368,CO,2000
561094,38.44,816015,55.91,1459525,CT,2000
137288,41.9,180068,54.96,327622,DE,2000
18073,8.95,171923,85.16,201894,DC,2000
2912790,48.85,2912253,48.84,5963110,FL,2000
1419720,54.67,1116230,42.98,2596804,GA,2000
137845,37.46,205286,55.79,367951,HI,2000
336937,67.17,138637,27.64,501621,ID,2000
2019421,42.58,2589026,54.6,4742123,IL,2000
1245836,56.65,901980,41.01,2199302,IN,2000
634373,48.22,638517,48.54,1315563,IA,2000
622332,58.04,399276,37.24,1072218,KS,2000
872492,56.5,638898,41.37,1544187,KY,2000
927871,52.55,792344,44.88,1765656,LA,2000
286616,43.97,319951,49.09,651817,ME,2000
813797,40.18,1145782,56.57,2025480,MD,2000
878502,32.5,1616487,59.8,2702984,MA,2000
1953139,46.15,2170418,51.28,4232501,MI,2000
1109659,45.5,1168266,47.91,2438685,MN,2000
572844,57.62,404614,40.7,994184,MS,2000
1189924,50.42,1111138,47.08,2359892,MO,2000
240178,58.44,137126,33.36,410997,MT,2000
433862,62.25,231780,33.25,697019,NE,2000
301575,49.52,279978,45.98,608970,NV,2000
273559,48.07,266348,46.8,569081,NH,2000
1284173,40.29,1788850,56.13,3187226,NJ,2000
286417,47.85,286783,47.91,598605,NM,2000
2403374,35.23,4107697,60.21,6821999,NY,2000
1631163,56.03,1257692,43.2,2911262,NC,2000
174852,60.66,95284,33.06,288256,ND,2000
2351209,49.97,2186190,46.46,4705457,OH,2000
744337,60.31,474276,38.43,1234229,OK,2000
713577,46.52,720342,46.96,1533968,OR,2000
2281127,46.43,2485967,50.6,4913119,PA,2000
130555,31.91,249508,60.99,409112,RI,2000
785937,56.84,565561,40.9,1382717,SC,2000
190700,60.3,118804,37.56,316269,SD,2000
1061949,51.15,981720,47.28,2076181,TN,2000
3799639,59.3,2433746,37.98,6407637,TX,2000
515096,66.83,203053,26.34,770754,UT,2000
119775,40.7,149022,50.63,294308,VT,2000
1437490,52.47,1217290,44.44,2739447,VA,2000
1108864,44.58,1247652,50.16,2487433,WA,2000
336475,51.92,295497,45.59,648124,WV,2000
1237279,47.61,1242987,47.83,2598607,WI,2000
147947,67.76,60481,27.7,218351,WY,2000
50456002,47.86,50999897,48.38,105405100,US,2000
1176394,62.46,693933,36.84,1883449,AL,2004
190889,61.07,111025,35.52,312598,AK,2004
1104294,54.87,893524,44.4,2012585,AZ,2004
572898,54.31,469953,44.55,1054945,AR,2004
5509826,44.36,6745485,54.31,12421353,CA,2004
1101255,51.69,1001732,47.02,2130330,CO,2004
693826,43.95,857488,54.31,1578769,CT,2004
171660,45.75,200152,53.35,375190,DE,2004
21256,9.34,202970,89.18,227586,DC,2004
3964522,52.1,3583544,47.09,7609810,FL,2004
1914254,57.97,1366149,41.37,3301875,GA,2004
194191,45.26,231708,54.01,429013,HI,2004
409235,68.38,181098,30.26,598447,ID,2004
2345946,44.48,2891550,54.82,5274322,IL,2004
1479438,59.94,969011,39.26,2468002,IN,2004
751957,49.9,741898,49.23,1506908,IA,2004
736456,62.0,434993,36.62,1187756,KS,2004
1069439,59.55,712733,39.69,1795882,KY,2004
1102169,56.72,820299,42.22,1943106,LA,2004
330201,44.58,396842,53.57,740752,ME,2004
1024703,42.93,1334493,55.91,2386678,MD,2004
1071109,36.78,1803800,61.94,2912388,MA,2004
2313746,47.81,2479183,51.23,4839252,MI,2004
1346695,47.61,1445014,51.09,2828387,MN,2004
684981,59.45,458094,39.76,1152145,MS,2004
1455713,53.3,1259171,46.1,2731364,MO,2004
266063,59.07,173710,38.56,450445,MT,2004
512814,65.9,254328,32.68,778186,NE,2004
418690,50.47,397190,47.88,829587,NV,2004
331237,48.87,340511,50.24,677738,NH,2004
1670003,46.24,1911430,52.92,3611691,NJ,2004
376930,49.84,370942,49.05,756304,NM,2004
2962567,40.08,4314280,58.37,7391036,NY,2004
1961166,56.02,1525849,43.58,3501007,NC,2004
196651,62.86,111052,35.5,312833,ND,2004
2859768,50.81,2741167,48.71,5627908,OH,2004
959792,65.57,503966,34.43,1463758,OK,2004
866831,47.19,943163,51.35,1836782,OR,2004
2793847,48.42,2938095,50.92,5769590,PA,2004
169046,38.67,259765,59.42,437134,RI,2004
937974,57.98,661699,40.9,1617730,SC,2004
232584,59.91,149244,38.44,388215,SD,2004
1384375,56.8,1036477,42.53,2437319,TN,2004
4526917,61.09,2832704,38.22,7410765,TX,2004
663742,71.54,241199,26.0,927844,UT,2004
121180,38.8,184067,58.94,312309,VT,2004
1716959,53.68,1454742,45.48,3198367,VA,2004
1304894,45.64,1510201,52.82,2859084,WA,2004
423778,56.06,326541,43.2,755887,WV,2004
