Unnamed: 0,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,4040389,4091025,4139269,4193114,4232965,4262731,4290403,4320281,4351037,4369862,4451687,4462832,4469906,4486598,4506574,4537299,4587564, 4626595 , 4661900 , 4708708 , 4785448 , 4798834 , 4815564 , 4830460 , 4842481 , 4853160 , 4864745 , 4875120 , 4887871 , 4903185 , 4921532 
Alaska,550043,569273,587073,596993,600624,601345,604918,608846,615205,619500,627428,633160,642391,650426,660975,668625,676301, 681111 , 686293 , 698473 , 713906 , 722038 , 730399 , 737045 , 736307 , 737547 , 741504 , 739786 , 737438 , 731545 , 731158 
Arizona,3665339,3762394,3867333,3993390,4147561,4306908,4432308,4552207,4667277,4778332,5166810,5303632,5449195,5585512,5750475,5961239,6178251, 6353421 , 6500180 , 6595778 , 6407774 , 6473497 , 6556629 , 6634999 , 6733840 , 6833596 , 6945452 , 7048876 , 7171646 , 7278717 , 7421401 
Arkansas,2350624,2370666,2394098,2423743,2450605,2480121,2504858,2524007,2538202,2551373,2678217,2689601,2701889,2717909,2740191,2768918,2804199, 2830557 , 2855390 , 2889450 , 2921978 , 2940407 , 2952109 , 2959549 , 2967726 , 2978407 , 2990410 , 3002997 , 3013825 , 3017804 , 3030522 
California,29811427,30414114,30875920,31147208,31317179,31493525,31780829,32217708,32682794,33145121,33998767,34507030,34916495,35307398,35629666,35885415,36121296, 36377534 , 36756666 , 36961664 , 37320903 , 37641823 , 37960782 , 38280824 , 38625139 , 38953142 , 39209127 , 39399349 , 39557045 , 39512223 , 39368078 
Colorado,3294473,3367567,3459995,3560884,3653910,3738061,3812716,3891293,3968967,4056133,4327788,4431918,4503156,4548339,4600050,4662734,4751474, 4842770 , 4939456 , 5024748 , 5048281 , 5121771 , 5193721 , 5270482 , 5351218 , 5452107 , 5540921 , 5615902 , 5695564 , 5758736 , 5807719 
Connecticut,3287116,3288640,3274997,3272325,3268346,3265293,3267030,3268514,3272563,3282031,3411714,3428208,3448261,3467932,3475351,3478714,3487896, 3489868 , 3501252 , 3518288 , 3579125 , 3588023 , 3594395 , 3594915 , 3594783 , 3587509 , 3578674 , 3573880 , 3572665 , 3565287 , 3557006 
Delaware,666168,680495,690158,699475,708416,718265,727090,735024,744066,753538,786404,794498,803774,814262,825682,838519,850366, 861953 , 873092 , 885122 , 899595 , 907316 , 915188 , 923638 , 932596 , 941413 , 949216 , 957078 , 967171 , 973764 , 986809 
District of Columbia,606900,593239,584183,576358,564982,551273,538273,528752,521426,519000,571723,577678,579112,577371,579521,582049,585419, 587868 , 591833 , 599657 , 605085 , 619602 , 634725 , 650431 , 662513 , 675254 , 686575 , 695691 , 702455 , 705749 , 712816 
Florida,12938071,13289497,13504775,13713593,13961798,14185403,14426911,14683350,14908230,15111244,16047246,16340734,16652679,16937337,17313811,17702476,18019093, 18199526 , 18328340 , 18537969 , 18845785 , 19093352 , 19326230 , 19563166 , 19860330 , 20224249 , 20629982 , 20976812 , 21299325 , 21477737 , 21733312 
Georgia,6478149,6621279,6759474,6894092,7045900,7188538,7332225,7486094,7636522,7788240,8230053,8418592,8583674,8732924,8910741,9093958,9318715, 9523297 , 9685744 , 9829211 , 9711810 , 9801578 , 9901496 , 9973326 , 10069001 , 10181111 , 10304763 , 10413055 , 10519475 , 10617423 , 10710017 
Hawaii,1108229,1131412,1149926,1161508,1173903,1180490,1184434,1189322,1190472,1185497,1211479,1217955,1227391,1238333,1251532,1264468,1275264, 1277356 , 1288198 , 1295178 , 1363963 , 1379252 , 1394905 , 1408453 , 1414862 , 1422484 , 1428105 , 1424203 , 1420491 , 1415872 , 1407006 
Idaho,1006734,1038915,1066490,1101204,1135459,1165000,1187706,1210638,1230923,1251700,1299474,1320732,1341408,1363010,1390329,1424127,1461183, 1496145 , 1523816 , 1545801 , 1570773 , 1583828 , 1595441 , 1611530 , 1631479 , 1651523 , 1682930 , 1718904 , 1754208 , 1787065 , 1826913 
Illinois,11430602,11535973,11635197,11725984,11804986,11884935,11953003,12011509,12069774,12128370,12437888,12510596,12565228,12611047,12665718,12704063,12759673, 12825809 , 12901563 , 12910409 , 12840762 , 12867291 , 12884119 , 12898269 , 12888962 , 12864342 , 12826895 , 12786196 , 12741080 , 12671821 , 12587530 
